"Albania",36
"Austria",50
"Azores Islands",4
"Belarus",14
"Belgium",63
"Bosnia and Herzegovina",28
"Bulgaria",48
"Canary Is",7
"Country",1
"Croatia",30
"Czech Republic (the)",31
"Czechoslovakia",9
"Denmark",16
"Estonia",4
"Finland",3
"France",181
"Germany",85
"Germany Dem Rep",3
"Germany Fed Rep",13
"Greece",87
"Hungary",34
"Iceland",13
"Ireland",25
"Isle of Man",1
"Italy",149
"Latvia",9
"Lithuania",14
"Luxembourg",13
"Macedonia (the former Yugoslav Republic of)",24
"Moldova (the Republic of)",16
"Montenegro",6
"Netherlands (the)",41
"Norway",12
"Poland",61
"Portugal",47
"Romania",92
"Russian Federation (the)",176
"Serbia",27
"Serbia Montenegro",16
"Slovakia",23
"Slovenia",11
"Soviet Union",47
"Spain",99
"Sweden",16
"Switzerland",59
"Ukraine",39
"United Kingdom of Great Britain and Northern Ireland (the)",97
"Yugoslavia",15
